Title,Image,kfi5wf,jdzyld,nfofm
Marina Bay Sands Singapore,,4.5," (7,026)",High-end hotel with bay views & dining
Gardens by the Bay,,4.7," (107,063)",Modern public gardens on reclaimed land
Sentosa,,4.6," (3,415)",Palawan Beach & Tiger Sky Tower
Merlion,,4.6," (25,932)","Half-lion, half-fish statue & fountain"
Universal Studios Singapore,,4.6," (77,742)",Movie- & TV-themed amusement park
Orchard Road,,4.6, (138),Shopping & Chinese baroque houses
Marina Bay,,4.8, (856),Gardens by the Bay & diverse dining 
Night Safari,,4.2," (23,274)",Zoo for nocturnal animals opened in 1994
Singapore Flyer,,4.6," (14,612)",165m-tall public observation wheel
Singapore Botanic Gardens,,4.7," (32,310)",Botanical gardens founded in 1859
Singapore Zoo,,4.6," (33,874)",64-acre zoo in a rainforest setting
Clarke Quay,,4.5," (33,948)",Riverside shopping & leisure complex
Resorts World Sentosa,,4.6," (74,797)",Upscale resort with chic hotels & a spa
Jurong Bird Park,,4.5," (18,367)",Wildlife preserve for bird diversity
ArtScience Museum,,4.5," (9,601)",Flower-shaped design & technology museum
River Safari,,4.4," (7,162)",Zoo & freshwater aquarium with boats
National Museum of Singapore,,4.5," (9,621)",Landmark museum of Singapore's culture
National Gallery Singapore,,4.6," (10,056)",Asian art museum in a historic building
Singapore Cable Car,,4.6, (605),Tourist attraction
Fort Canning Park,,4.4," (5,491)",Historical hilltop site with events
"Esplanade - Theatres on the Bay, Singapore",,4.6," (15,634)","Theater, concert hall & studio complex"
Buddha Tooth Relic Temple,,4.6," (7,430)",Temple with Buddha relics & a garden
Siloso Beach,,4.4," (4,076)","Sandy stretch with sports, shops & bars"
Helix Bridge,,4.7," (3,585)",Footbridge modelled on DNA structure
Pulau Ubin,,4.5, (500),Chek Jawa Wetlands & Da Bo Gong Temple
Skyline Luge Sentosa,,4.6," (5,338)",Tourist attraction
East Coast Park,,4.5," (20,348)",Strip of public beach with activities
Mount Faber Park,,4.5," (6,657)",Hilltop spot with scenic city views
Haw Par Villa,,4.1," (4,031)",Park artfully depicting Chinese history
Sultan Mosque,,4.7," (6,925)",Preserved historical mosque from 1824
Fort Siloso,,4.5," (1,304)",World War II museum in a coastal fort
Southern Ridges,,4.6," (2,490)",Paved walking path with city views
Sri Mariamman Temple,,4.5," (3,522)",Ornate 19th-century Hindu temple
MacRitchie Reservoir,,4.6, (791),Scenic lake with trails & a park
Underwater World,,5.0, (1),"Dolphin, lagoon, aquarium, sea turtles and seahorses"
Kusu Island,,4.3, (154),Turtle habitat with shrines & beaches
Arab Street,,4.7, (38),Landmark shopping & dining strip
Mega Adventure - Singapore,,4.4," (1,286)",Recreational park with zip-lines
Haji Lane,,4.7, (41),"Vibrant strip of shops, bars & eateries"
National Parks Board,,4.7," (5,706)",Thousands of rare orchids on display
Marina Barrage,,4.6," (4,582)",Reservoir with sustainability exhibits
Peranakan Museum,,4.3," (1,009)",Peranakan exhibits in neoclassical space
